Date	Time	CongHt
10/4/15	12:45	17.04
10/4/15	13:00	17.05
10/4/15	13:15	17.04
10/4/15	13:30	17.06
10/4/15	13:45	17.08
10/4/15	14:00	17.09
10/4/15	14:15	17.09
10/4/15	14:30	17.11
10/4/15	14:45	17.12
10/4/15	15:00	17.13
10/4/15	15:15	17.14
10/4/15	15:30	17.16
10/4/15	15:45	17.18
10/4/15	16:00	17.18
10/4/15	16:15	17.21
10/4/15	16:30	17.21
10/4/15	16:45	17.22
10/4/15	17:00	17.24
10/4/15	17:15	17.26
10/4/15	17:30	17.27
10/4/15	17:45	17.3
10/4/15	18:00	17.3
10/4/15	18:15	17.33
10/4/15	18:30	17.34
10/4/15	18:45	17.36
10/4/15	19:00	17.38
10/4/15	19:15	17.39
10/4/15	19:30	17.42
10/4/15	19:45	17.45
10/4/15	20:00	17.46
10/4/15	20:15	17.49
10/4/15	20:30	17.52
10/4/15	20:45	17.55
10/4/15	21:00	17.57
10/4/15	21:15	17.6
10/4/15	21:30	17.66
10/4/15	21:45	17.68
10/4/15	22:00	17.7
10/4/15	22:15	17.74
10/4/15	22:30	17.76
10/4/15	22:45	17.78
10/4/15	23:00	17.81
10/4/15	23:15	17.83
10/4/15	23:30	17.86
10/4/15	23:45	17.87
10/5/15	0:00	17.91
10/5/15	0:15	17.92
10/5/15	0:30	17.93
10/5/15	0:45	17.97
10/5/15	1:00	18.01
10/5/15	1:15	18.04
10/5/15	1:30	18.06
10/5/15	1:45	18.09
10/5/15	2:00	18.11
10/5/15	2:15	18.12
10/5/15	2:30	18.17
10/5/15	2:45	18.18
10/5/15	3:00	18.23
10/5/15	3:15	18.25
10/5/15	3:30	18.29
10/5/15	3:45	18.31
10/5/15	4:00	18.36
10/5/15	4:15	18.39
10/5/15	4:30	18.44
10/5/15	4:45	18.47
10/5/15	5:00	18.52
10/5/15	5:15	18.54
10/5/15	5:30	18.59
10/5/15	5:45	18.62
10/5/15	6:00	18.65
10/5/15	6:15	18.7
